,Roll,Eng,Math,Sci,Total,Avg,Grade
211,448338,100,94,91,285,95.0,A+
469,828116,88,100,86,274,91.33333333333333,A+
507,623049,100,83,88,271,90.33333333333333,A+
546,762512,88,91,100,279,93.0,A+
572,274666,98,98,74,270,90.0,A+
634,521696,93,78,99,270,90.0,A+
840,124364,99,81,90,270,90.0,A+
910,972538,92,99,99,290,96.66666666666667,A+
1053,1029264,90,99,92,281,93.66666666666667,A+
1285,999366,80,91,100,271,90.33333333333333,A+
1295,374810,93,91,92,276,92.0,A+
1337,979612,89,89,99,277,92.33333333333333,A+
1750,502277,99,98,85,282,94.0,A+
1758,154427,99,87,94,280,93.33333333333333,A+
1799,728829,98,89,97,284,94.66666666666667,A+
1972,1042495,90,99,94,283,94.33333333333333,A+
2021,268853,79,93,98,270,90.0,A+
2096,643164,94,95,88,277,92.33333333333333,A+
2144,598507,93,88,96,277,92.33333333333333,A+
2256,830030,87,95,96,278,92.66666666666667,A+
2365,102243,94,95,82,271,90.33333333333333,A+
2491,102757,84,93,95,272,90.66666666666667,A+
2495,245405,90,97,94,281,93.66666666666667,A+
2514,937455,94,99,99,292,97.33333333333333,A+
2787,226348,99,94,93,286,95.33333333333333,A+
2827,280114,98,100,77,275,91.66666666666667,A+
2991,332244,91,81,99,271,90.33333333333333,A+
3420,590724,94,89,96,279,93.0,A+
3464,767231,90,97,88,275,91.66666666666667,A+
3495,373368,90,82,99,271,90.33333333333333,A+
3498,737591,82,99,93,274,91.33333333333333,A+
3804,299900,88,99,92,279,93.0,A+
3943,366324,100,83,90,273,91.0,A+
3983,902146,99,80,94,273,91.0,A+
4145,539164,88,94,96,278,92.66666666666667,A+
5293,868665,99,78,98,275,91.66666666666667,A+
6032,525418,98,96,80,274,91.33333333333333,A+
6178,791664,96,89,98,283,94.33333333333333,A+
6189,8050,95,87,98,280,93.33333333333333,A+
6296,983572,100,96,77,273,91.0,A+
6784,563669,79,99,99,277,92.33333333333333,A+
7106,682466,99,86,98,283,94.33333333333333,A+
7163,544361,94,85,98,277,92.33333333333333,A+
7236,532988,97,92,97,286,95.33333333333333,A+
7566,862746,87,100,84,271,90.33333333333333,A+
8003,637185,84,92,99,275,91.66666666666667,A+
8075,73018,86,95,95,276,92.0,A+
8078,385466,94,98,78,270,90.0,A+
8256,631841,99,80,94,273,91.0,A+
8491,521476,99,98,100,297,99.0,A+
8673,903686,92,89,91,272,90.66666666666667,A+
8897,234229,89,92,98,279,93.0,A+
9067,619528,86,98,100,284,94.66666666666667,A+
9085,879878,85,94,93,272,90.66666666666667,A+
9126,1021725,91,100,90,281,93.66666666666667,A+
9207,791492,97,91,88,276,92.0,A+
9354,816653,78,94,100,272,90.66666666666667,A+
9838,671088,92,93,100,285,95.0,A+
10075,329327,87,98,85,270,90.0,A+
10082,747220,96,85,89,270,90.0,A+
10213,89141,85,92,99,276,92.0,A+
10280,1010897,90,95,94,279,93.0,A+
10528,381095,93,92,90,275,91.66666666666667,A+
10714,127134,94,96,97,287,95.66666666666667,A+
11292,391392,84,96,100,280,93.33333333333333,A+
11318,156867,98,84,94,276,92.0,A+
11346,940023,75,97,100,272,90.66666666666667,A+
11638,346631,100,79,100,279,93.0,A+
11801,398410,100,87,86,273,91.0,A+
12004,351663,85,93,99,277,92.33333333333333,A+
12071,166992,91,90,93,274,91.33333333333333,A+
12080,174733,96,77,97,270,90.0,A+
12709,819281,96,92,84,272,90.66666666666667,A+
13038,982296,88,85,97,270,90.0,A+
13159,86836,92,85,93,270,90.0,A+
14214,336292,99,74,99,272,90.66666666666667,A+
14304,516547,90,97,90,277,92.33333333333333,A+
14429,612820,77,99,97,273,91.0,A+
14665,740525,90,96,86,272,90.66666666666667,A+
14808,178553,92,95,84,271,90.33333333333333,A+
14809,51271,87,96,100,283,94.33333333333333,A+
15155,874504,93,90,96,279,93.0,A+
15398,934789,83,94,99,276,92.0,A+
15593,995527,88,86,99,273,91.0,A+
15871,806913,71,99,100,270,90.0,A+
15978,306259,97,98,95,290,96.66666666666667,A+
16179,581192,86,93,99,278,92.66666666666667,A+
17104,524398,89,95,98,282,94.0,A+
17311,3243,98,96,87,281,93.66666666666667,A+
17594,610100,93,90,100,283,94.33333333333333,A+
17640,237518,90,99,92,281,93.66666666666667,A+
18011,132319,98,78,100,276,92.0,A+
18179,758813,81,98,99,278,92.66666666666667,A+
18350,758324,97,87,98,282,94.0,A+
18405,958004,90,90,100,280,93.33333333333333,A+
18707,437302,100,90,91,281,93.66666666666667,A+
19235,373135,93,92,100,285,95.0,A+
19274,995080,82,97,99,278,92.66666666666667,A+
19584,996725,90,95,94,279,93.0,A+
19876,503946,98,93,97,288,96.0,A+
20050,158616,91,92,96,279,93.0,A+
20397,483561,99,95,87,281,93.66666666666667,A+
20553,626461,98,76,99,273,91.0,A+
20808,601644,92,84,95,271,90.33333333333333,A+
20918,790202,97,92,90,279,93.0,A+
21037,994065,89,90,91,270,90.0,A+
21173,132514,94,100,91,285,95.0,A+
21214,724219,98,87,90,275,91.66666666666667,A+
21329,398062,100,88,86,274,91.33333333333333,A+
21416,1028713,100,100,85,285,95.0,A+
21738,306075,95,91,86,272,90.66666666666667,A+
21912,901412,99,80,100,279,93.0,A+
21996,608033,92,84,95,271,90.33333333333333,A+
22134,972886,92,98,99,289,96.33333333333333,A+
22242,197997,91,95,96,282,94.0,A+
22709,416258,94,100,97,291,97.0,A+
22843,954524,93,98,80,271,90.33333333333333,A+
23065,97035,93,90,98,281,93.66666666666667,A+
23109,462235,100,97,79,276,92.0,A+
23122,673111,92,91,92,275,91.66666666666667,A+
23366,969327,100,95,89,284,94.66666666666667,A+
23403,793479,80,99,91,270,90.0,A+
23466,760983,90,97,84,271,90.33333333333333,A+
23506,559247,97,98,76,271,90.33333333333333,A+
23783,838027,95,93,97,285,95.0,A+
23807,100721,98,73,99,270,90.0,A+
23981,14794,89,98,100,287,95.66666666666667,A+
24102,139558,100,88,95,283,94.33333333333333,A+
24164,966918,93,99,86,278,92.66666666666667,A+
24177,896319,92,88,100,280,93.33333333333333,A+
24479,531563,98,96,83,277,92.33333333333333,A+
24885,825738,95,91,92,278,92.66666666666667,A+
25086,968869,92,96,90,278,92.66666666666667,A+
25156,963036,91,94,94,279,93.0,A+
25242,1028921,99,99,89,287,95.66666666666667,A+
25256,153370,82,89,100,271,90.33333333333333,A+
25347,45022,87,96,96,279,93.0,A+
25580,133505,82,88,100,270,90.0,A+
25734,367412,93,93,86,272,90.66666666666667,A+
25786,928051,83,94,99,276,92.0,A+
26346,130619,92,92,96,280,93.33333333333333,A+
26421,503274,80,96,97,273,91.0,A+
26597,778293,96,88,100,284,94.66666666666667,A+
26931,90089,93,90,94,277,92.33333333333333,A+
26940,949274,98,81,100,279,93.0,A+
27063,820608,88,98,98,284,94.66666666666667,A+
27173,108761,100,82,96,278,92.66666666666667,A+
27381,9382,89,97,92,278,92.66666666666667,A+
27562,772503,90,97,100,287,95.66666666666667,A+
28043,351002,86,96,93,275,91.66666666666667,A+
28074,806711,80,100,93,273,91.0,A+
28174,864514,77,96,100,273,91.0,A+
28382,837563,77,94,100,271,90.33333333333333,A+
28405,695526,84,99,96,279,93.0,A+
28571,406995,84,95,93,272,90.66666666666667,A+
29594,401162,99,82,92,273,91.0,A+
29734,403718,100,88,93,281,93.66666666666667,A+
29829,279999,88,97,98,283,94.33333333333333,A+
29864,351418,100,83,96,279,93.0,A+
29969,577738,79,99,97,275,91.66666666666667,A+
30052,567606,93,82,95,270,90.0,A+
30461,503358,99,98,79,276,92.0,A+
30655,633981,86,98,91,275,91.66666666666667,A+
30687,578575,79,99,93,271,90.33333333333333,A+
30809,420782,98,84,94,276,92.0,A+
30920,511620,89,93,98,280,93.33333333333333,A+
31100,1012333,99,94,84,277,92.33333333333333,A+
31149,584585,87,99,96,282,94.0,A+
31670,664282,93,94,92,279,93.0,A+
31834,708262,90,89,100,279,93.0,A+
32032,115432,85,95,93,273,91.0,A+
32266,224709,99,96,95,290,96.66666666666667,A+
32461,767195,89,96,94,279,93.0,A+
33131,457448,100,93,82,275,91.66666666666667,A+
33449,890211,92,89,91,272,90.66666666666667,A+
33492,702361,90,89,95,274,91.33333333333333,A+
33949,160921,99,87,97,283,94.33333333333333,A+
34733,574569,96,96,78,270,90.0,A+
34776,489945,90,96,90,276,92.0,A+
34824,626504,92,88,96,276,92.0,A+
35081,252393,99,97,89,285,95.0,A+
35748,955882,92,95,86,273,91.0,A+
35909,472251,92,100,97,289,96.33333333333333,A+
35966,459949,89,88,93,270,90.0,A+
36259,335735,84,86,100,270,90.0,A+
36314,539102,97,95,84,276,92.0,A+
36482,774942,89,93,100,282,94.0,A+
36579,209516,82,99,95,276,92.0,A+
36580,531374,79,95,99,273,91.0,A+
37098,267355,79,96,97,272,90.66666666666667,A+
37194,680937,100,91,82,273,91.0,A+
37476,245063,99,97,91,287,95.66666666666667,A+
37482,743571,100,98,100,298,99.33333333333333,A+
37619,996132,91,95,96,282,94.0,A+
37749,183854,98,86,88,272,90.66666666666667,A+
37898,834469,88,99,92,279,93.0,A+
37963,200742,96,80,99,275,91.66666666666667,A+
38099,1040018,98,95,78,271,90.33333333333333,A+
38597,410211,100,89,95,284,94.66666666666667,A+
38612,326106,85,90,99,274,91.33333333333333,A+
39352,710255,98,87,94,279,93.0,A+
39446,20969,80,100,99,279,93.0,A+
39614,299521,97,98,95,290,96.66666666666667,A+
40278,161997,75,98,98,271,90.33333333333333,A+
40395,1029117,96,88,94,278,92.66666666666667,A+
40811,1023431,90,96,96,282,94.0,A+
41190,608289,95,94,92,281,93.66666666666667,A+
41508,604786,84,89,97,270,90.0,A+
41704,302382,97,97,82,276,92.0,A+
41887,17067,98,97,87,282,94.0,A+
42556,1013801,91,100,95,286,95.33333333333333,A+
43060,139240,92,90,92,274,91.33333333333333,A+
43129,537744,98,98,79,275,91.66666666666667,A+
43187,31521,97,97,78,272,90.66666666666667,A+
43296,325799,95,92,90,277,92.33333333333333,A+
43499,427312,98,85,90,273,91.0,A+
43515,628809,100,83,96,279,93.0,A+
43698,992677,99,91,88,278,92.66666666666667,A+
43873,238111,90,98,90,278,92.66666666666667,A+
43922,328795,93,87,93,273,91.0,A+
44090,2124,90,100,82,272,90.66666666666667,A+
44217,193428,100,94,80,274,91.33333333333333,A+
44632,932832,91,87,93,271,90.33333333333333,A+
44783,387240,93,93,92,278,92.66666666666667,A+
44810,880532,91,82,97,270,90.0,A+
44860,81914,100,81,98,279,93.0,A+
44909,869349,96,100,85,281,93.66666666666667,A+
45036,412993,90,85,97,272,90.66666666666667,A+
45072,76051,85,92,93,270,90.0,A+
45262,428926,100,92,93,285,95.0,A+
45344,912167,76,98,96,270,90.0,A+
45466,726378,97,83,98,278,92.66666666666667,A+
45574,895915,95,100,91,286,95.33333333333333,A+
46141,840210,92,79,99,270,90.0,A+
46270,23842,98,98,81,277,92.33333333333333,A+
46319,410632,100,90,82,272,90.66666666666667,A+
46718,306381,86,89,95,270,90.0,A+
46803,1008562,91,98,96,285,95.0,A+
46943,14279,99,100,87,286,95.33333333333333,A+
47186,956855,91,92,98,281,93.66666666666667,A+
47258,396570,95,100,87,282,94.0,A+
47451,175759,84,99,87,270,90.0,A+
47624,315112,94,87,89,270,90.0,A+
48059,596869,94,90,98,282,94.0,A+
48242,506129,94,80,99,273,91.0,A+
48367,485512,98,91,90,279,93.0,A+
48558,70676,93,88,96,277,92.33333333333333,A+
48603,355991,93,88,91,272,90.66666666666667,A+
48888,137491,99,82,90,271,90.33333333333333,A+
48963,733953,81,93,99,273,91.0,A+
49055,545387,97,97,83,277,92.33333333333333,A+
49183,473779,98,88,90,276,92.0,A+
49286,893427,93,93,98,284,94.66666666666667,A+
49500,311236,86,92,99,277,92.33333333333333,A+
49511,102164,100,83,92,275,91.66666666666667,A+
49760,182284,98,86,98,282,94.0,A+
49920,377213,91,86,97,274,91.33333333333333,A+
50175,387937,93,92,92,277,92.33333333333333,A+
50357,739522,100,98,77,275,91.66666666666667,A+
50415,560392,96,92,99,287,95.66666666666667,A+
50485,366538,93,92,96,281,93.66666666666667,A+
50622,705009,89,84,99,272,90.66666666666667,A+
51184,198088,88,84,99,271,90.33333333333333,A+
51246,472092,95,79,99,273,91.0,A+
51674,995997,99,95,97,291,97.0,A+
51912,1013795,98,90,92,280,93.33333333333333,A+
51916,392199,93,94,98,285,95.0,A+
52076,1017176,81,96,95,272,90.66666666666667,A+
52138,841623,87,98,100,285,95.0,A+
52330,744371,92,100,84,276,92.0,A+
52554,421033,92,94,94,280,93.33333333333333,A+
53143,509327,99,97,91,287,95.66666666666667,A+
53330,937271,92,91,90,273,91.0,A+
53850,903301,92,89,98,279,93.0,A+
53935,273860,98,96,93,287,95.66666666666667,A+
53987,494763,90,97,100,287,95.66666666666667,A+
54189,342314,87,99,90,276,92.0,A+
54190,141300,100,86,94,280,93.33333333333333,A+
54219,679006,82,92,99,273,91.0,A+
55189,12464,99,100,100,299,99.66666666666667,A+
55994,888083,93,90,98,281,93.66666666666667,A+
56191,287897,98,99,76,273,91.0,A+
56302,20841,98,99,98,295,98.33333333333333,A+
56693,409294,82,91,97,270,90.0,A+
56927,212407,97,84,92,273,91.0,A+
56961,489841,90,96,88,274,91.33333333333333,A+
57031,330202,95,95,93,283,94.33333333333333,A+
57089,69625,85,90,99,274,91.33333333333333,A+
57292,71575,99,76,97,272,90.66666666666667,A+
57319,336188,99,75,97,271,90.33333333333333,A+
57367,852438,86,93,97,276,92.0,A+
57847,778916,72,99,100,271,90.33333333333333,A+
58653,852640,92,81,99,272,90.66666666666667,A+
58838,213557,96,82,93,271,90.33333333333333,A+
58968,650593,100,84,86,270,90.0,A+
59061,599778,96,99,78,273,91.0,A+
59107,809963,97,94,88,279,93.0,A+
59182,313932,88,98,96,282,94.0,A+
59374,507688,99,99,94,292,97.33333333333333,A+
59648,364893,100,83,96,279,93.0,A+
59757,585605,97,100,79,276,92.0,A+
59771,210561,82,98,95,275,91.66666666666667,A+
60375,974066,83,98,97,278,92.66666666666667,A+
60415,836065,78,97,99,274,91.33333333333333,A+
60460,960597,92,97,94,283,94.33333333333333,A+
60496,867430,96,100,95,291,97.0,A+
60646,184802,91,95,88,274,91.33333333333333,A+
60675,782205,89,95,89,273,91.0,A+
60676,44153,88,99,86,273,91.0,A+
60769,1036350,90,98,92,280,93.33333333333333,A+
60788,230732,88,87,99,274,91.33333333333333,A+
62425,553446,96,93,95,284,94.66666666666667,A+
62504,601234,86,96,89,271,90.33333333333333,A+
62872,226085,87,84,99,270,90.0,A+
62901,809426,94,83,100,277,92.33333333333333,A+
63278,67404,96,96,80,272,90.66666666666667,A+
63409,896019,95,100,93,288,96.0,A+
63588,550694,98,98,89,285,95.0,A+
63601,778463,87,90,93,270,90.0,A+
63774,779215,99,100,83,282,94.0,A+
63927,767616,90,98,82,270,90.0,A+
63940,549300,98,100,89,287,95.66666666666667,A+
64186,157460,83,94,97,274,91.33333333333333,A+
64206,538014,88,96,94,278,92.66666666666667,A+
64473,215654,73,100,100,273,91.0,A+
64493,307886,78,97,99,274,91.33333333333333,A+
64800,60136,86,94,93,273,91.0,A+
64845,342724,93,86,95,274,91.33333333333333,A+
65191,238600,90,98,86,274,91.33333333333333,A+
65264,759032,91,100,80,271,90.33333333333333,A+
65337,626748,92,88,93,273,91.0,A+
65445,129329,93,93,98,284,94.66666666666667,A+
65763,924811,85,98,98,281,93.66666666666667,A+
65796,384697,94,97,90,281,93.66666666666667,A+
65873,150478,83,93,99,275,91.66666666666667,A+
65936,217482,99,95,99,293,97.66666666666667,A+
66088,553202,96,93,97,286,95.33333333333333,A+
66100,965127,90,91,93,274,91.33333333333333,A+
66182,747923,90,94,92,276,92.0,A+
66374,244464,90,98,96,284,94.66666666666667,A+
66463,30891,97,97,87,281,93.66666666666667,A+
66545,565528,96,95,95,286,95.33333333333333,A+
66895,828734,94,86,96,276,92.0,A+
67110,905637,76,96,100,272,90.66666666666667,A+
67229,228537,89,91,97,277,92.33333333333333,A+
67241,334243,93,88,96,277,92.33333333333333,A+
67384,939686,93,97,94,284,94.66666666666667,A+
67524,874516,96,100,95,291,97.0,A+
67680,487915,97,87,96,280,93.33333333333333,A+
67830,347615,93,90,94,277,92.33333333333333,A+
67965,101223,85,94,99,278,92.66666666666667,A+
68322,759724,90,95,100,285,95.0,A+
68475,499617,98,92,82,272,90.66666666666667,A+
69079,228371,98,93,84,275,91.66666666666667,A+
69518,521402,90,100,94,284,94.66666666666667,A+
69779,536558,98,99,83,280,93.33333333333333,A+
69799,926247,94,97,88,279,93.0,A+
69966,128870,99,84,94,277,92.33333333333333,A+
70112,528867,81,100,91,272,90.66666666666667,A+
70166,510825,98,94,93,285,95.0,A+
70254,950576,100,90,97,287,95.66666666666667,A+
70497,77983,95,97,99,291,97.0,A+
70501,808429,97,96,93,286,95.33333333333333,A+
71441,285930,80,99,99,278,92.66666666666667,A+
71971,72560,77,97,96,270,90.0,A+
72683,287568,95,86,92,273,91.0,A+
72733,968208,92,98,84,274,91.33333333333333,A+
72890,396980,100,88,93,281,93.66666666666667,A+
72916,341434,93,88,98,279,93.0,A+
73415,634329,86,98,91,275,91.66666666666667,A+
73552,182871,89,86,99,274,91.33333333333333,A+
73631,559211,97,97,82,276,92.0,A+
73857,128913,93,95,90,278,92.66666666666667,A+
73937,349510,95,98,89,282,94.0,A+
74057,635693,94,95,94,283,94.33333333333333,A+
74956,307751,87,96,100,283,94.33333333333333,A+
75067,542557,89,100,92,281,93.66666666666667,A+
75286,286633,88,97,96,281,93.66666666666667,A+
75298,1036240,96,89,88,273,91.0,A+
75510,506943,97,88,100,285,95.0,A+
76064,270503,96,91,90,277,92.33333333333333,A+
76317,1777,98,96,99,293,97.66666666666667,A+
76714,910742,85,98,100,283,94.33333333333333,A+
76724,364416,95,98,82,275,91.66666666666667,A+
77872,883932,86,98,96,280,93.33333333333333,A+
77942,641910,94,98,84,276,92.0,A+
78003,216993,91,99,86,276,92.0,A+
78030,815998,88,96,92,276,92.0,A+
78112,856871,78,97,97,272,90.66666666666667,A+
78158,225638,96,85,94,275,91.66666666666667,A+
78396,327658,96,99,91,286,95.33333333333333,A+
78939,341183,99,77,98,274,91.33333333333333,A+
79070,426651,99,87,84,270,90.0,A+
79231,1849,99,98,87,284,94.66666666666667,A+
79328,595235,95,96,80,271,90.33333333333333,A+
79363,329101,99,75,97,271,90.33333333333333,A+
79473,807615,95,87,92,274,91.33333333333333,A+
79501,856919,96,98,85,279,93.0,A+
79840,405955,93,96,90,279,93.0,A+
79853,697965,83,96,95,274,91.33333333333333,A+
79913,545595,97,96,87,280,93.33333333333333,A+
79970,1189,99,100,81,280,93.33333333333333,A+
80006,998259,90,94,90,274,91.33333333333333,A+
80202,949352,92,94,90,276,92.0,A+
80349,276973,99,100,98,297,99.0,A+
80428,237237,90,98,100,288,96.0,A+
80776,926559,93,96,94,283,94.33333333333333,A+
81082,714932,90,91,91,272,90.66666666666667,A+
81214,667529,100,89,91,280,93.33333333333333,A+
81622,524165,99,98,77,274,91.33333333333333,A+
81978,522380,90,100,86,276,92.0,A+
82465,1010506,96,84,98,278,92.66666666666667,A+
82741,934825,83,95,93,271,90.33333333333333,A+
82999,340841,93,88,100,281,93.66666666666667,A+
83525,160859,93,99,91,283,94.33333333333333,A+
83781,177771,89,84,97,270,90.0,A+
83864,672965,98,81,94,273,91.0,A+
84179,661458,93,97,99,289,96.33333333333333,A+
84509,264433,90,99,98,287,95.66666666666667,A+
84782,477068,99,94,85,278,92.66666666666667,A+
84983,191045,82,96,95,273,91.0,A+
85274,431298,100,90,84,274,91.33333333333333,A+
85471,502895,89,95,100,284,94.66666666666667,A+
85502,310373,96,94,86,276,92.0,A+
85602,251525,100,100,79,279,93.0,A+
85749,322278,96,95,97,288,96.0,A+
85868,21145,96,91,84,271,90.33333333333333,A+
86350,322406,93,86,93,272,90.66666666666667,A+
86387,961740,98,85,94,277,92.33333333333333,A+
86765,816157,100,73,97,270,90.0,A+
87180,867027,100,80,100,280,93.33333333333333,A+
87248,199182,91,94,92,277,92.33333333333333,A+
87740,951762,100,89,93,282,94.0,A+
87756,865223,95,94,94,283,94.33333333333333,A+
87782,692737,100,92,91,283,94.33333333333333,A+
87915,920903,93,95,88,276,92.0,A+
87973,978608,99,91,91,281,93.66666666666667,A+
88092,684704,92,94,96,282,94.0,A+
88133,809339,98,98,76,272,90.66666666666667,A+
88240,766596,96,86,94,276,92.0,A+
88386,460762,91,97,94,282,94.0,A+
88468,585973,78,97,99,274,91.33333333333333,A+
88733,557560,95,89,86,270,90.0,A+
88773,186019,90,92,98,280,93.33333333333333,A+
88939,240520,98,93,93,284,94.66666666666667,A+
89048,830488,96,94,95,285,95.0,A+
89110,592264,87,98,94,279,93.0,A+
89211,301105,100,75,97,272,90.66666666666667,A+
89357,797631,87,92,93,272,90.66666666666667,A+
89452,152825,100,90,91,281,93.66666666666667,A+
89466,1016271,81,98,91,270,90.0,A+
89538,384898,100,85,92,277,92.33333333333333,A+
89923,830721,78,95,98,271,90.33333333333333,A+
90351,316616,87,95,93,275,91.66666666666667,A+
90482,308002,96,96,95,287,95.66666666666667,A+
90606,356424,96,100,78,274,91.33333333333333,A+
90746,480224,94,77,99,270,90.0,A+
90801,435652,97,82,94,273,91.0,A+
91039,44715,97,97,87,281,93.66666666666667,A+
91140,486056,95,80,95,270,90.0,A+
91458,864666,95,95,90,280,93.33333333333333,A+
91520,78662,99,75,97,271,90.33333333333333,A+
91913,793033,90,100,86,276,92.0,A+
92170,389093,86,100,96,282,94.0,A+
92303,897554,95,99,89,283,94.33333333333333,A+
92826,96698,96,100,97,293,97.66666666666667,A+
92853,1009441,100,98,83,281,93.66666666666667,A+
92868,259077,86,87,99,272,90.66666666666667,A+
93014,833068,95,91,90,276,92.0,A+
93778,972183,99,89,97,285,95.0,A+
94110,812439,96,92,82,270,90.0,A+
94134,453915,83,97,95,275,91.66666666666667,A+
94185,270583,99,99,98,296,98.66666666666667,A+
94276,571452,79,98,99,276,92.0,A+
94341,36223,79,100,93,272,90.66666666666667,A+
94422,348709,96,99,87,282,94.0,A+
94467,544189,80,98,93,271,90.33333333333333,A+
94542,419174,90,87,93,270,90.0,A+
94586,543248,80,99,95,274,91.33333333333333,A+
94760,431090,100,91,80,271,90.33333333333333,A+
94895,591812,87,99,92,278,92.66666666666667,A+
94963,954660,92,95,96,283,94.33333333333333,A+
