"1,The ",Nightmare ,Before Chri,"stmas,1993",",3.9,4568"
"2,The ","Mummy,1932",",3.5,4388",,
"3,Orph","ans of the Storm,1921",,",3.2,9062",
"4,The ",Object of ,"Beauty,1991",",2.8,6150",
"5,Nigh","t Tide,196","3,2.8,5126",,
"6,One ",Magic Chri,"stmas,1985",",3.8,5333",
"7,Muri",el's Weddi,"ng,1994,3.","5,6323",
"8,Moth","er's Boys,","1994,3.4,5733",,
"9,Nosf","eratu: Original Version,1929,3.",,,"5,5651"
"10,Nic","k of Time,","1995,3.4,5333",,
"11,Bro",ken Blosso,"ms,1919,3.3,5367",,
"12,Big"," Night,199","6,3.6,6561",,
"13,The", Birth of ,"a Nation,1915,2.9,12118",,
"14,The"," Boys from Brazil,1978,3.6,7417",,,
"15,Big"," Doll House,1971,2.9,5696",,,
"16,The"," Breakfast Club,1985,4.0,5823",,,
"17,The"," Bride of Frankenstein,1935,3.7",,,",4485"
"18,Bea",utiful Gir,"ls,1996,3.","5,6755",
"19,Bus",tin' Loose,",1981,3.7,",5598,
"20,The"," Beguiled,","1971,3.4,6307",,
"21,Bor","n on the Fourth of July,1989,3.",,,"4,8646"
"22,Bro","adcast News,1987,3.4,7940",,,
"23,Swi","mming with Sharks,199",,"4,3.3,5586",
"24,Bea",vis and Bu,tt-head Do ,"America,19","96,3.4,4852"
"25,Bri",ghton Beac,"h Memoirs,1","986,3.4,6564",
"26,The", Best of T,"imes,1986,3",".4,6247",
"27,Bra","ssed Off,1","996,3.5,6040",,
"28,Las","t Tango in Paris,1972,3.1,7732",,,
"29,Lep","rechaun 2,","1994,3.2,5125",,
"30,Inc",ident at O,"glala: The Leonard Peltier Story,1992,3.7,5487",,
"31,Kal","ifornia,19","93,3.4,7095",,
"32,The", Lady Vani,"shes,1938,3.7,5762",,
"33,Jin","gle All the Way,1996,3.6,5371",,,
"34,Kil","ling Zoe,1","993,3.4,5773",,
"35,Kin",g of Begga,"rs,1992,3.","6,6025",
"36,Int",o the Wood,"s,1990,4.0",",9077",
"37,Joe"," Kidd,1972",",3.7,5252",,
"38,In ","Too Deep,1","999,3.9,5823",,
"39,Kin","g Kong,197","6,3.2,8044",,
"40,Int",ernal Affa,"irs,1990,3",".5,6885",
"41,Jes",us Christ ,"Superstar,1","973,3.6,6388",
"42,In ",the Name o,f the Fathe,"r,1993,3.9,7972",
"43,Eas","y Money,19","87,2.8,5794",,
"44,Do ","the Right Thing,1989,",,"3.6,7186",
"45,Day",s of Heave,"n,1978,3.4,5628",,
"46,Dro","p Zone,199","4,3.4,6087",,
"47,Esc",ape from L,".A.,1996,3.3,6039",,
"48,Emm","a,1996,3.5",",7260",,
"49,Dis",co Godfath,"er,1979,3.","0,5869",
"50,The", Eiger San,"ction,1975",",3.5,7726",
"51,Elv","is '56,198","7,3.8,3518",,
"52,Dou",ble Dragon,",1994,3.3,",5781,
"53,Dou",ble Jeopar,"dy,1999,3.","7,6311",
"54,Dea","th Becomes Her,1992,3.4,6207",,,
